content.text,manuel_intent,manuel_category,manuel_sentiment
Emin çata ne kadar polmak ne kadar,,,
"Tabii! 2025 yılı itibarıyla ortalama piyasa fiyatlarıyla, **Eminçanta** ve **Polmak** markalarının orta boy valiz fiyatları şu şekildedir:

---

### 🧳 Orta Boy Valiz Fiyatları

| Marka        | Ortalama Fiyat (TL) | Açıklama                                  |
|--------------|---------------------|-------------------------------------------|
| **Eminçanta**| 950 – 1.200         | Sert kabuklu, 360° tekerlekli, garantili  |
| **Polmak**   | 900 – 1.100         | Sert kabuklu, çeşitli renk/model, garantili|

---

**Notlar:**
- Fiyatlar model, renk ve kampanya dönemlerine göre değişiklik gösterebilir.
- Eminçanta mağazalarında veya online’da sık sık indirim/kampanya bulunabiliyor.
- Polmak valizler de hem mağazalarda hem de online alışveriş sitelerinde kolayca bulunabilir.

**Kısacası:**  
- **Eminçanta orta boy valiz:** 950 – 1.200 TL  
- **Polmak orta boy valiz:** 900 – 1.100 TL

Dilerseniz, setinizde bu fiyat aralığında bir valiz seçebilirsiniz.  
Başka bir marka veya ürün hakkında fiyat bilgisi ister misiniz?  
Yardımcı olmamı istediğiniz başka bir detay var mı?",Bot Yanıtı,Bot,Nötr
Polmak orta boy olsun,,,
"Harika! Çeyiz setinizde **Polmak marka orta boy valiz** olacak şekilde güncelledim. Ortalama fiyatı 900–1.100 TL aralığında.

Aşağıda, Polmak valiz ile birlikte güncellenmiş çeyiz setinizin son hali ve yaklaşık toplam fiyatı yer alıyor:

---

## 👰‍♀️ Ekonomik Çeyiz Seti (Polmak Orta Boy Valizli)

| Ürün                               | Ortalama Fiyat (TL) | Marka/Notlar                      |
|-------------------------------------|---------------------|-----------------------------------|
| Bornoz Takımı (Tek)                 | 700                 | Özdilek                           |
| Havlu (El-Yüz)                      | 200                 | Özdilek                           |
| Pijama Takımı                       | 600                 | Penti/Suwen/LCW                   |
| Terlik                              | 250                 | Penti/Suwen/LCW                   |
| Çorap Seti                          | 200                 | Penti/Suwen/LCW                   |
| İç Giyim Takımı                     | 600                 | Penti/Suwen/Kom                   |
| Fantezi İç Giyim                    | 600                 | Suwen/Kom/Penti                   |
| Valiz (Orta Boy)                    | 1.000               | **Polmak**                        |
| Seccade                             | 400                 |                                   |
| Tesbih                              | 200                 |                                   |
| Makyaj Seti                         | 2.000               | Orta segment markalar             |
| Parfüm                              | 250                 | Avon/Rebul/Zara                   |
| Deodorant                           | 100                 | Rexona/Nivea                      |
| Şampuan                             | 100                 | Elidor/Pantene                    |
| Duş Jeli                            | 100                 | Duru/Palmolive                    |
| Diş Bakım Seti                      | 200                 | Colgate/Oral-B                    |
| Örme Kese (Bayan)                   | 150                 | El emeği                          |
| Örme Kese (Erkek)                   | 150                 | El emeği                          |
| Yazma (İğne Oyası, 3 adet)          | 660                 | El emeği                          |
| Saten Namazlık (Sade, 3 adet)       | 390                 | Sade saten                        |
| Örgü Gelin Şal                      | 300                 | El emeği                          |
| Örgü Yelek (Gelin için)             | 300                 | El emeği                          |

---

### **Toplam Ortalama Fiyat:** **9.150 TL**

---

**Not:**  
Polmak orta boy valiz için 1.000 TL üzerinden hesaplama yapılmıştır.  
Fiyatlar mağaza ve kampanyalara göre değişebilir.

Başka bir ürün eklemek, çıkarmak veya fiyat/marka önerisi almak ister misiniz?  
Size başka nasıl yardımcı olabilirim?",Bot Yanıtı,Bot,Nötr
Yazma iğne oyası marka ve fiyat,,,
"Tabii! **Yazma (iğne oyası)** ürünlerinde marka genellikle önemli değildir çünkü bu ürünler çoğunlukla el emeğiyle, atölyelerde veya yöresel kadın kooperatiflerinde üretilir. Ancak, bazı bölgelerde ve butiklerde “marka” olarak bilinen atölye veya ustaların adı öne çıkabilir.

### 🧕 Yazma (İğne Oyası) Hakkında

#### 1. **Marka/Üretici Önerileri**
- **Aker**, **Karaca**, **Armine**, **Sarar** gibi bilinen yazma markalarının sade yazmaları alınır, kenarına el ile iğne oyası yapılır. Yani yazmanın kumaşı markalı, oya ise el emeğidir.
- “El Emeği Atölyesi”, “Kadın Kooperatifi”, “Yöresel El Sanatları” gibi butik ve atölyelerden alınan yazmalar da çok tercih edilir.
- Instagram’da “Yazma İğne Oyası” aramasıyla birçok güvenilir butik bulabilirsiniz.

#### 2. **Fiyatlar (2025 yılı için)**
- **Markalı sade yazma + el emeği iğne oyası:**  
  - **Aker, Karaca, Armine, Sarar yazma üzerine iğne oyası:**  
    Ortalama **200 – 350 TL** (tekli)
- **Yöresel/atölye el emeği yazma (iğne oyası dahil):**  
  - Ortalama **180 – 300 TL** (tekli)
- **3 adet set fiyatı:**  
  - Ortalama **600 – 900 TL** arası

#### 3. **Püf Noktası**
- Fiyatı belirleyen en önemli unsur iğne oyasının yoğunluğu, deseni ve işçiliğidir.
- Markalı yazmalar üzerine yapılan oyalar biraz daha pahalı olabilir.
- Kadın kooperatifleri ve el emeği pazarlarında uygun fiyatlı ve kaliteli ürünler bulabilirsiniz.

---

### **Örnek Fiyatlandırma (Setiniz için):**
- **Aker/Armine yazma üzerine el emeği iğne oyası:**  
  - 1 adet: 220 TL  
  - 3 adet: 660 TL

---

**Sonuç:**  
- Markalı kumaş (Aker, Armine, Karaca, Sarar) + el emeği iğne oyası yazma için adet fiyatı **200-250 TL** arası, 3’lü set için **660 TL** civarıdır.
- Yöresel butik ve kooperatiflerde ise 3’lü seti **600 TL** civarına da bulabilirsiniz.

Başka bir ürün veya marka hakkında bilgi ister misiniz?  
Size güvenilir butik veya kooperatif önerisi de sunabilirim!",Bot Yanıtı,Bot,Nötr
Örgü gelin yelek fiyat marka,,,
"Tabii! **Örgü gelin yeleği** genellikle el emeğiyle yapılan bir üründür ve markadan çok yapan kişinin ustalığı ve kullanılan iplik kalitesi önemlidir. Ancak, bazı butik atölyeler veya kadın kooperatifleri bu tür ürünleri “markalaşmış” şekilde sunabilmektedir.

---

### 🧶 Örgü Gelin Yeleği Hakkında

#### 1. **Marka/Üretici Önerileri**
- **Kadın Kooperatifleri:** Türkiye’nin birçok ilinde faaliyet gösteren kadın kooperatifleri, uygun fiyatlı ve kaliteli el örgüsü yelekler sunar.
- **El Emeği Atölyeleri & Butikler:** “El Emeği Atölyesi”, “Çeyiz Diyarı”, “Kadın Emeği Pazarı” gibi butiklerde ve Instagram’da “örgü gelin yelek” aramasıyla güvenilir satıcılar bulabilirsiniz.
- **LC Waikiki, Defacto, Koton:** Hazır makine örgüsü yelekler sunar, ancak el emeği kadar değerli değildir.

#### 2. **Fiyatlar (2025 yılı için)**
- **El emeği örgü gelin yeleği:**  
  - Ortalama **250 – 400 TL**  
  - Kullanılan ipliğin kalitesine, modelin detayına ve işçiliğe göre fiyat değişir.
- **Hazır mağaza ürünü (makine örgüsü):**  
  - 200 – 300 TL arası (el emeği kadar değerli değildir)

#### 3. **Püf Noktası**
- El emeği yelekler hem manevi hem de görsel açıdan çok daha kıymetlidir.
- Kadın kooperatifleri ve el işi butiklerinde pazarlıkla fiyatı daha da uygun hale getirebilirsiniz.

---

### **Örnek Fiyatlandırma (Setiniz için):**
- **El emeği örgü gelin yeleği:**  
  - Ortalama fiyat: **300 TL**

---

**Sonuç:**  
- **Marka:** Kadın Kooperatifi, El Emeği Atölyesi, Çeyiz Diyarı, Kadın Emeği Pazarı (veya Instagram butiklerinden güvenilir satıcılar)
- **Fiyat:** 250 – 400 TL (ortalama 300 TL)

Başka bir el emeği ürün, marka veya fiyat bilgisi ister misiniz?  
Setinizi tekrar güncellememi ister misiniz? Yardımcı olmaktan mutluluk duyarım!",Bot Yanıtı,Bot,Nötr
250 olan,,,
"Tabii! **250 TL** olan el emeği örgü gelin yeleği, genellikle kadın kooperatifleri, yöresel pazarlar veya Instagram’daki el işi butiklerinden temin edilebilen, uygun fiyatlı ve sade modellerdir.

### 🧶 250 TL’lik Örgü Gelin Yeleği Hakkında

- **Marka/Üretici:**  
  Kadın Kooperatifleri, El Emeği Atölyeleri, Yöresel El Sanatları Pazarı, Instagram butik satıcıları  
  (Örneğin: “Kadın Emeği Pazarı”, “El Emeği Atölyesi”, “Çeyiz Diyarı” gibi butik isimleriyle bulabilirsiniz.)

- **Fiyat:**  
  250 TL (sade model, uygun fiyatlı iplik ve temel işçilikle hazırlanmış)

- **Model:**  
  Genellikle klasik beyaz veya krem, düz veya basit motifli, zarif ve kullanışlı.

---

**Not:**  
- Fiyat, modelin sadeliğine ve kullanılan ipliğe göre belirlenir.
- Kadın kooperatifleri ve el işi pazarlarında pazarlıkla bu fiyata bulmak mümkündür.
- Hazır mağaza ürünlerinden daha değerli ve anlamlıdır.

Setinizde “örgü gelin yeleği”ni 250 TL olarak güncelleyebilirim.  
Başka bir ürün veya fiyat bilgisi ister misiniz?  
Setinizi tekrar düzenlememi ister misiniz? Yardımcı olmaktan mutluluk duyarım!",Bot Yanıtı,Bot,Nötr
Şimdi ne oldu tekrar,,,
"Tabii! Tüm güncellemelerinizle birlikte, en uygun fiyatlı ve sade modellerle hazırlanmış **güncel çeyiz setiniz** ve yaklaşık toplam fiyatı aşağıda bulabilirsiniz:

---

## 👰‍♀️ Ekonomik Çeyiz Seti (2025) – Son Güncel Liste

| Ürün                               | Ortalama Fiyat (TL) | Marka/Notlar                      |
|-------------------------------------|---------------------|-----------------------------------|
| Bornoz Takımı (Tek)                 | 700                 | Özdilek                           |
| Havlu (El-Yüz)                      | 200                 | Özdilek                           |
| Pijama Takımı                       | 600                 | Penti/Suwen/LCW                   |
| Terlik                              | 250                 | Penti/Suwen/LCW                   |
| Çorap Seti                          | 200                 | Penti/Suwen/LCW                   |
| İç Giyim Takımı                     | 600                 | Penti/Suwen/Kom                   |
| Fantezi İç Giyim                    | 600                 | Suwen/Kom/Penti                   |
| Valiz (Orta Boy)                    | 1.000               | Polmak                            |
| Seccade                             | 400                 |                                   |
| Tesbih                              | 200                 |                                   |
| Makyaj Seti                         | 2.000               | Orta segment markalar             |
| Parfüm                              | 250                 | Avon/Rebul/Zara                   |
| Deodorant                           | 100                 | Rexona/Nivea                      |
| Şampuan                             | 100                 | Elidor/Pantene                    |
| Duş Jeli                            | 100                 | Duru/Palmolive                    |
| Diş Bakım Seti                      | 200                 | Colgate/Oral-B                    |
| Örme Kese (Bayan)                   | 150                 | El emeği                          |
| Örme Kese (Erkek)                   | 150                 | El emeği                          |
| Yazma (İğne Oyası, 3 adet)          | 660                 | Aker/Armine veya kooperatif       |
| Saten Namazlık (Sade, 3 adet)       | 390                 | Sade saten                        |
| Örgü Gelin Şal                      | 300                 | El emeği                          |
| Örgü Yelek (Gelin için)             | 250                 | El emeği, sade model              |

---

### **Toplam Ortalama Fiyat:** **9.200 TL**

---

**Özetle:**
- Tüm ürünler en uygun fiyatlı ve sade modellerden seçildi.
- Valiz olarak Polmak marka orta boy valiz eklendi.
- Örgü gelin yeleği 250 TL olarak güncellendi.
- Yazma iğne oyası adet fiyatı 220 TL’den hesaplandı.
- Setiniz hem ekonomik hem de kapsamlı, modern ve geleneksel ürünleri bir arada içeriyor.

Başka bir ürün eklemek, çıkarmak veya fiyat/marka önerisi almak ister misiniz?  
Size başka nasıl yardımcı olabilirim?",Bot Yanıtı,Bot,Nötr
Saten namazla marka ve fiyatlar örgü gelin şalı marka ve fiyatları,,,
"Tabii! Aşağıda **saten namazlık** ve **örgü gelin şalı** için piyasada bulabileceğiniz uygun fiyatlı ve güvenilir marka/üretici önerileri ile 2025 yılı için ortalama fiyatları bulabilirsiniz:

---

## 🧕 Saten Namazlık (Sade)  
### Marka & Fiyat Önerileri

- **Marka/Üretici:**
  - Genellikle “marka”dan çok atölye, kadın kooperatifi veya çeyiz mağazası ürünü olarak geçer.
  - Büyük şehirlerde “Çeyiz Diyarı”, “Kadın Emeği Pazarı”, “El Emeği Atölyesi” gibi butiklerde ve Instagram butiklerinde bulabilirsiniz.
  - Hazır tekstil markalarında ise:  
    - **LC Waikiki** (bazen sade saten namazlık setleri olur)
    - **Madame Coco** (zaman zaman özel koleksiyonlarda)
    - **English Home** (nadir, bazen kampanyalarda)
  - Ancak en yaygın olanı, çeyiz mağazası veya kooperatif ürünüdür.

- **Fiyat (2025):**
  - Sade saten namazlık (tekli): **120 – 150 TL**
  - 3’lü set: **350 – 450 TL**

---

## 🧶 Örgü Gelin Şalı  
### Marka & Fiyat Önerileri

- **Marka/Üretici:**
  - El emeği ürünlerde “marka” yerine genellikle kadın kooperatifleri, el işi atölyeleri veya yöresel pazarlar tercih edilir.
  - Instagram’da “örgü gelin şalı” aramasıyla butik satıcılar bulabilirsiniz.
  - Hazır mağaza ürünü olarak:  
    - **LC Waikiki**, **Defacto**, **Koton** gibi markalarda makine örgüsü sade şallar bulunabilir (el emeği kadar değerli değildir).

- **Fiyat (2025):**
  - El emeği örgü gelin şalı: **250 – 350 TL** (model ve ipliğe göre değişir)
  - Hazır mağaza ürünü (makine örgüsü): **200 – 300 TL**

---

### **Özet Tablo**

| Ürün                 | Marka/Üretici Önerisi                | Ortalama Fiyat (TL) |
|----------------------|--------------------------------------|---------------------|
| Saten Namazlık (Sade)| Kadın kooperatifi, çeyiz mağazası, LC Waikiki, Madame Coco | 120–150 (tekli), 350–450 (3’lü) |
| Örgü Gelin Şalı      | Kadın kooperatifi, el emeği butik, LC Waikiki (hazır) | 250–350 (el emeği), 200–300 (hazır) |

---

**Notlar:**
- El emeği ürünlerde fiyat pazarlıkla daha da uygun olabilir.
- Hazır mağaza ürünleri el emeği kadar manevi değere sahip değildir ama fiyatı daha uygun olabilir.
- Kadın kooperatifleri ve yöresel pazarlar en uygun ve güvenilir kaynaklardır.

Başka bir ürün, marka veya fiyat bilgisi ister misiniz?  
Setinizi tekrar güncellememi ister misiniz? Yardımcı olmaktan mutluluk duyarım!",Bot Yanıtı,Bot,Nötr
Yazma iğne oyası 3 adet toplam 400 TL olandan ekleyin,,,
"Harika! Yazma (iğne oyası) 3 adet toplam **400 TL** olan uygun fiyatlı el emeği ürünü setinize ekliyorum.

Aşağıda, bu güncellemeyle birlikte çeyiz setinizin son hali ve yaklaşık toplam fiyatı yer alıyor:

---

## 👰‍♀️ Ekonomik Çeyiz Seti (2025) – Son Güncel Liste

| Ürün                               | Ortalama Fiyat (TL) | Marka/Notlar                      |
|-------------------------------------|---------------------|-----------------------------------|
| Bornoz Takımı (Tek)                 | 700                 | Özdilek                           |
| Havlu (El-Yüz)                      | 200                 | Özdilek                           |
| Pijama Takımı                       | 600                 | Penti/Suwen/LCW                   |
| Terlik                              | 250                 | Penti/Suwen/LCW                   |
| Çorap Seti                          | 200                 | Penti/Suwen/LCW                   |
| İç Giyim Takımı                     | 600                 | Penti/Suwen/Kom                   |
| Fantezi İç Giyim                    | 600                 | Suwen/Kom/Penti                   |
| Valiz (Orta Boy)                    | 1.000               | Polmak                            |
| Seccade                             | 400                 |                                   |
| Tesbih                              | 200                 |                                   |
| Makyaj Seti                         | 2.000               | Orta segment markalar             |
| Parfüm                              | 250                 | Avon/Rebul/Zara                   |
| Deodorant                           | 100                 | Rexona/Nivea                      |
| Şampuan                             | 100                 | Elidor/Pantene                    |
| Duş Jeli                            | 100                 | Duru/Palmolive                    |
| Diş Bakım Seti                      | 200                 | Colgate/Oral-B                    |
| Örme Kese (Bayan)                   | 150                 | El emeği                          |
| Örme Kese (Erkek)                   | 150                 | El emeği                          |
| **Yazma (İğne Oyası, 3 adet)**      | **400**             | El emeği, uygun fiyatlı           |
| Saten Namazlık (Sade, 3 adet)       | 390                 | Sade saten                        |
| Örgü Gelin Şal                      | 300                 | El emeği                          |
| Örgü Yelek (Gelin için)             | 250                 | El emeği, sade model              |

---

### **Toplam Ortalama Fiyat:** **8.990 TL**

---

**Notlar:**
- Yazma (iğne oyası) 3 adet toplam 400 TL olarak güncellendi.
- Fiyatlar ortalama olup, alışveriş yapılan mağaza ve pazarlık durumuna göre değişebilir.
- Setiniz hem ekonomik hem de kapsamlı bir çeyiz örneği oldu.

Başka bir ürün eklemek, çıkarmak veya fiyat/marka önerisi almak ister misiniz?  
Size başka nasıl yardımcı olabilirim?",Bot Yanıtı,Bot,Nötr
Örgü gelin şalı 200 TL olandan,,,
"Harika! **Örgü gelin şalını** 200 TL olan uygun fiyatlı el emeği modelle güncelliyorum.

Aşağıda, bu güncelleme ile birlikte çeyiz setinizin son hali ve yaklaşık toplam fiyatı yer alıyor:

---

## 👰‍♀️ Ekonomik Çeyiz Seti (2025) – Son Güncel Liste

| Ürün                               | Ortalama Fiyat (TL) | Marka/Notlar                      |
|-------------------------------------|---------------------|-----------------------------------|
| Bornoz Takımı (Tek)                 | 700                 | Özdilek                           |
| Havlu (El-Yüz)                      | 200                 | Özdilek                           |
| Pijama Takımı                       | 600                 | Penti/Suwen/LCW                   |
| Terlik                              | 250                 | Penti/Suwen/LCW                   |
| Çorap Seti                          | 200                 | Penti/Suwen/LCW                   |
| İç Giyim Takımı                     | 600                 | Penti/Suwen/Kom                   |
| Fantezi İç Giyim                    | 600                 | Suwen/Kom/Penti                   |
| Valiz (Orta Boy)                    | 1.000               | Polmak                            |
| Seccade                             | 400                 |                                   |
| Tesbih                              | 200                 |                                   |
| Makyaj Seti                         | 2.000               | Orta segment markalar             |
| Parfüm                              | 250                 | Avon/Rebul/Zara                   |
| Deodorant                           | 100                 | Rexona/Nivea                      |
| Şampuan                             | 100                 | Elidor/Pantene                    |
| Duş Jeli                            | 100                 | Duru/Palmolive                    |
| Diş Bakım Seti                      | 200                 | Colgate/Oral-B                    |
| Örme Kese (Bayan)                   | 150                 | El emeği                          |
| Örme Kese (Erkek)                   | 150                 | El emeği                          |
| Yazma (İğne Oyası, 3 adet)          | 400                 | El emeği, uygun fiyatlı           |
| Saten Namazlık (Sade, 3 adet)       | 390                 | Sade saten                        |
| **Örgü Gelin Şal**                  | **200**             | El emeği, uygun fiyatlı           |
| Örgü Yelek (Gelin için)             | 250                 | El emeği, sade model              |

---

### **Toplam Ortalama Fiyat:** **8.890 TL**

---

**Notlar:**
- Örgü gelin şalı 200 TL olarak güncellendi.
- Fiyatlar ortalama olup, alışveriş yapılan mağaza ve pazarlık durumuna göre değişebilir.
- Setiniz hem ekonomik hem de kapsamlı bir çeyiz örneği oldu.

Başka bir ürün eklemek, çıkarmak veya fiyat/marka önerisi almak ister misiniz?  
Size başka nasıl yardımcı olabilirim?",Bot Yanıtı,Bot,Nötr
1 adet erkek kese 1 adet gelin kese tane fiyatı 80 TL olandan ekleyin,,,
"Harika! Örme erkek kese ve gelin kese için adet fiyatını **80 TL** olarak güncelliyorum. Böylece toplamda 2 adet kese için 160 TL olacak.

Aşağıda, bu güncellemeyle birlikte çeyiz setinizin son hali ve yaklaşık toplam fiyatı yer alıyor:

---

## 👰‍♀️ Ekonomik Çeyiz Seti (2025) – Son Güncel Liste

| Ürün                               | Ortalama Fiyat (TL) | Marka/Notlar                      |
|-------------------------------------|---------------------|-----------------------------------|
| Bornoz Takımı (Tek)                 | 700                 | Özdilek                           |
| Havlu (El-Yüz)                      | 200                 | Özdilek                           |
| Pijama Takımı                       | 600                 | Penti/Suwen/LCW                   |
| Terlik                              | 250                 | Penti/Suwen/LCW                   |
| Çorap Seti                          | 200                 | Penti/Suwen/LCW                   |
| İç Giyim Takımı                     | 600                 | Penti/Suwen/Kom                   |
| Fantezi İç Giyim                    | 600                 | Suwen/Kom/Penti                   |
| Valiz (Orta Boy)                    | 1.000               | Polmak                            |
| Seccade                             | 400                 |                                   |
| Tesbih                              | 200                 |                                   |
| Makyaj Seti                         | 2.000               | Orta segment markalar             |
| Parfüm                              | 250                 | Avon/Rebul/Zara                   |
| Deodorant                           | 100                 | Rexona/Nivea                      |
| Şampuan                             | 100                 | Elidor/Pantene                    |
| Duş Jeli                            | 100                 | Duru/Palmolive                    |
| Diş Bakım Seti                      | 200                 | Colgate/Oral-B                    |
| **Örme Kese (Bayan)**               | **80**              | El emeği, uygun fiyatlı           |
| **Örme Kese (Erkek)**               | **80**              | El emeği, uygun fiyatlı           |
| Yazma (İğne Oyası, 3 adet)          | 400                 | El emeği, uygun fiyatlı           |
| Saten Namazlık (Sade, 3 adet)       | 390                 | Sade saten                        |
| Örgü Gelin Şal                      | 200                 | El emeği, uygun fiyatlı           |
| Örgü Yelek (Gelin için)             | 250                 | El emeği, sade model              |

---

### **Toplam Ortalama Fiyat:** **8.730 TL**

---

**Notlar:**
- Erkek ve gelin için örme kese adet fiyatı 80 TL olarak güncellendi.
- Fiyatlar ortalama olup, alışveriş yapılan mağaza ve pazarlık durumuna göre değişebilir.

Başka bir ürün eklemek, çıkarmak veya fiyat/marka önerisi almak ister misiniz?  
Size başka nasıl yardımcı olabilirim?",Bot Yanıtı,Bot,Nötr
Bike takımı marka ve fiyat,,,
"Tabii! ""Bike takımı"" ifadesinde bir yazım hatası olmuş olabilir. Eğer ""pike takımı"" (yatak örtüsü ve çarşaf gibi parçalardan oluşan set) sormak istiyorsanız, aşağıda en çok tercih edilen markalar ve 2025 yılı için ortalama fiyatları bulabilirsiniz:

---

## 🛏️ Pike Takımı – Marka ve Fiyat Bilgisi

### En Çok Tercih Edilen Markalar
- **Özdilek**  
  (Kaliteli pamuklu, sade ve desenli modeller, uygun fiyat)
- **Cotton Box**  
  (Genç ve modern tasarımlar, pamuklu ürünler)
- **Taç**  
  (Uzun ömürlü, klasik ve modern desenler)
- **English Home**  
  (Çeşitli renk ve desenler, sık kampanya)
- **Madame Coco**  
  (Şık ve zarif tasarımlar, uygun fiyat)
- **Linens**  
  (Orta-üst segment, kaliteli ürünler)

### Ortalama Fiyatlar (2025)
| Marka         | Ortalama Fiyat (TL) | Özellikler                |
|---------------|---------------------|---------------------------|
| Özdilek       | 800 – 1.500         | Pamuklu, sade/desenli     |
| Cotton Box    | 900 – 1.400         | Pamuklu, genç/modern      |
| English Home  | 900 – 1.500         | Pamuklu, çeşitli desenler |
| Madame Coco   | 1.000 – 1.600       | Pamuklu, şık kutulu       |
| Taç           | 1.200 – 1.800       | Kaliteli, uzun ömürlü     |

---

### **Fiyat/Performans Tavsiyesi**
- **Özdilek** ve **Cotton Box** markaları, hem kalite hem de uygun fiyat açısından en çok tercih edilenlerdir.
- Kampanya ve indirim dönemlerinde fiyatlar daha da düşebilir.

---

**Kısacası:**  
- **En uygun ve güvenilir seçenek:** Özdilek pike takımı, ortalama 800 – 1.500 TL arası.
- **Modern ve genç tasarımlar:** Cotton Box, ortalama 900 – 1.400 TL arası.

Başka bir ürün veya marka hakkında bilgi ister misiniz?  
Setinize pike takımı eklememi ister misiniz? Yardımcı olmaktan mutluluk duyarım!",Bot Yanıtı,Bot,Nötr
Konsol takımı fiyat ve marka,,,
"Tabii! “Konsol takımı” ile kastınız, çeyizlerde sıkça yer alan **masa konsol takımı** (dantel veya kumaş masa örtüsü, runner, peçete gibi parçalardan oluşan set) ise aşağıda en çok tercih edilen markalar ve 2025 yılı için ortalama fiyatları bulabilirsiniz:

---

## 🏡 Konsol Takımı (Masa Konsol Takımı) – Marka ve Fiyat Bilgisi

### En Çok Tercih Edilen Markalar
- **Özdilek**  
  (Pamuklu, dantelli ve sade modeller, uygun fiyat)
- **Madame Coco**  
  (Şık ve zarif tasarımlar, sık kampanya)
- **English Home**  
  (Modern ve klasik desenler, uygun fiyat)
- **Taç**  
  (Kaliteli kumaş, uzun ömürlü)
- **Karaca Home**  
  (Özel koleksiyonlar, modern ve klasik seçenekler)
- **Linens**  
  (Orta-üst segment, kaliteli ürünler)
- **Yöresel El Emeği**  
  (Dantel, kanaviçe, el nakışı, genellikle kadın kooperatiflerinde veya butiklerde bulunur)

### Ortalama Fiyatlar (2025)
| Marka/Yapım        | Ortalama Fiyat (TL) | Özellikler                |
|--------------------|---------------------|---------------------------|
| Özdilek            | 500 – 1.200         | Pamuklu, sade/dantelli    |
| English Home       | 500 – 1.200         | Modern, klasik, runnerlı  |
| Madame Coco        | 600 – 1.300         | Şık, zarif, kutulu        |
| Taç                | 700 – 1.500         | Kaliteli, uzun ömürlü     |
| Karaca Home        | 800 – 1.600         | Özel koleksiyonlar        |
| Yöresel El Emeği   | 700 – 2.000         | Dantel, kanaviçe, el işi  |

---

### **Fiyat/Performans Tavsiyesi**
- **Özdilek** ve **English Home** markaları, hem kalite hem de uygun fiyat açısından en çok tercih edilenlerdir.
- El emeği dantelli veya kanaviçeli konsol takımları ise daha yüksek fiyatlı olabilir.

---

**Kısacası:**  
- **En uygun ve güvenilir seçenek:** Özdilek veya English Home konsol takımı, ortalama 500 – 1.200 TL arası.
- **El emeği dantelli/kanaviçeli:** 700 – 2.000 TL arası.

Başka bir ürün veya marka hakkında bilgi ister misiniz?  
Setinize konsol takımı eklememi ister misiniz? Yardımcı olmaktan mutluluk duyarım!",Bot Yanıtı,Bot,Nötr
600 TL olan bike takımı ekle,,,
"Harika! **600 TL** olan pike takımını (bike takımı olarak belirttiniz, pike takımı olarak ekliyorum) çeyiz setinize ekliyorum.

Aşağıda, bu güncellemeyle birlikte çeyiz setinizin son hali ve yaklaşık toplam fiyatı yer alıyor:

---

## 👰‍♀️ Ekonomik Çeyiz Seti (2025) – Son Güncel Liste

| Ürün                               | Ortalama Fiyat (TL) | Marka/Notlar                      |
|-------------------------------------|---------------------|-----------------------------------|
| Bornoz Takımı (Tek)                 | 700                 | Özdilek                           |
| Havlu (El-Yüz)                      | 200                 | Özdilek                           |
| Pijama Takımı                       | 600                 | Penti/Suwen/LCW                   |
| Terlik                              | 250                 | Penti/Suwen/LCW                   |
| Çorap Seti                          | 200                 | Penti/Suwen/LCW                   |
| İç Giyim Takımı                     | 600                 | Penti/Suwen/Kom                   |
| Fantezi İç Giyim                    | 600                 | Suwen/Kom/Penti                   |
| Valiz (Orta Boy)                    | 1.000               | Polmak                            |
| Seccade                             | 400                 |                                   |
| Tesbih                              | 200                 |                                   |
| Makyaj Seti                         | 2.000               | Orta segment markalar             |
| Parfüm                              | 250                 | Avon/Rebul/Zara                   |
| Deodorant                           | 100                 | Rexona/Nivea                      |
| Şampuan                             | 100                 | Elidor/Pantene                    |
| Duş Jeli                            | 100                 | Duru/Palmolive                    |
| Diş Bakım Seti                      | 200                 | Colgate/Oral-B                    |
| Örme Kese (Bayan)                   | 80                  | El emeği, uygun fiyatlı           |
| Örme Kese (Erkek)                   | 80                  | El emeği, uygun fiyatlı           |
| Yazma (İğne Oyası, 3 adet)          | 400                 | El emeği, uygun fiyatlı           |
| Saten Namazlık (Sade, 3 adet)       | 390                 | Sade saten                        |
| Örgü Gelin Şal                      | 200                 | El emeği, uygun fiyatlı           |
| Örgü Yelek (Gelin için)             | 250                 | El emeği, sade model              |
| **Pike Takımı**                     | **600**             | Uygun fiyatlı, Özdilek/Cotton Box |

---

### **Toplam Ortalama Fiyat:** **9.330 TL**

---

**Notlar:**
- Pike takımı 600 TL olarak eklendi.
- Fiyatlar ortalama olup, alışveriş yapılan mağaza ve pazarlık durumuna göre değişebilir.
- Setiniz hem ekonomik hem de kapsamlı bir çeyiz örneği oldu.

Başka bir ürün eklemek, çıkarmak veya fiyat/marka önerisi almak ister misiniz?  
Size başka nasıl yardımcı olabilirim?",Bot Yanıtı,Bot,Nötr
300 TL konsol takımı ekle,,,
